id	xlink_label	xlink_role	xlink_type	xml_lang	label
label_ConsolidatedStatementOfCashFlowsIFRSTextBlock	label_ConsolidatedStatementOfCashFlowsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	連結キャッシュ・フロー計算書
label_ConsolidatedStatementOfCashFlowsIFRSTextBlock_2	label_ConsolidatedStatementOfCashFlowsIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	連結キャッシュ・フロー計算書（IFRS） [テキストブロック]
label_NotesToConsolidatedFinancialStatementsIFRSHeading	label_NotesToConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	連結財務諸表注記事項
label_NotesToConsolidatedFinancialStatementsIFRSHeading_2	label_NotesToConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	連結財務諸表注記事項（IFRS） [目次項目]
label_NotesReportingEntityConsolidatedFinancialStatementsIFRSHeading	label_NotesReportingEntityConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－報告企業
label_NotesReportingEntityConsolidatedFinancialStatementsIFRSHeading_2	label_NotesReportingEntityConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－報告企業、連結財務諸表（IFRS） [目次項目]
label_NotesReportingEntityConsolidatedFinancialStatementsIFRSTextBlock	label_NotesReportingEntityConsolidatedFinancialStatementsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－報告企業
label_NotesReportingEntityConsolidatedFinancialStatementsIFRSTextBlock_2	label_NotesReportingEntityConsolidatedFinancialStatementsIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－報告企業、連結財務諸表（IFRS） [テキストブロック]
label_NotesBasisOfPreparationConsolidatedFinancialStatementsIFRSHeading	label_NotesBasisOfPreparationConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－作成の基礎
label_NotesBasisOfPreparationConsolidatedFinancialStatementsIFRSHeading_2	label_NotesBasisOfPreparationConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－作成の基礎、連結財務諸表（IFRS） [目次項目]
label_NotesBasisOfPreparationConsolidatedFinancialStatementsIFRSTextBlock	label_NotesBasisOfPreparationConsolidatedFinancialStatementsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－作成の基礎
label_NotesBasisOfPreparationConsolidatedFinancialStatementsIFRSTextBlock_2	label_NotesBasisOfPreparationConsolidatedFinancialStatementsIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－作成の基礎、連結財務諸表（IFRS） [テキストブロック]
label_NotesSignificantAccountingPoliciesConsolidatedFinancialStatementsIFRSHeading	label_NotesSignificantAccountingPoliciesConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－重要な会計方針
label_NotesSignificantAccountingPoliciesConsolidatedFinancialStatementsIFRSHeading_2	label_NotesSignificantAccountingPoliciesConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－重要な会計方針、連結財務諸表（IFRS） [目次項目]
label_NotesSignificantAccountingPoliciesConsolidatedFinancialStatementsIFRSTextBlock	label_NotesSignificantAccountingPoliciesConsolidatedFinancialStatementsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－重要な会計方針
label_NotesSignificantAccountingPoliciesConsolidatedFinancialStatementsIFRSTextBlock_2	label_NotesSignificantAccountingPoliciesConsolidatedFinancialStatementsIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－重要な会計方針、連結財務諸表（IFRS） [テキストブロック]
