id	xlink_label	xlink_role	xlink_type	xml_lang	label
label_Supplies_2	label_Supplies_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	貯蔵品
label_ByProduct	label_ByProduct	http://www.xbrl.org/2003/role/label	resource	ja	副産物
label_ByProduct_2	label_ByProduct_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	副産物
label_PartlyFinishedWork	label_PartlyFinishedWork	http://www.xbrl.org/2003/role/label	resource	ja	半成工事
label_PartlyFinishedWork_2	label_PartlyFinishedWork_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	半成工事
label_GoodsInTransit	label_GoodsInTransit	http://www.xbrl.org/2003/role/label	resource	ja	未着商品
label_GoodsInTransit_2	label_GoodsInTransit_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	未着商品
label_RawMaterialsInTransit	label_RawMaterialsInTransit	http://www.xbrl.org/2003/role/label	resource	ja	未着原材料
label_RawMaterialsInTransit_2	label_RawMaterialsInTransit_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	未着原材料
label_AdvancePaymentsTrade	label_AdvancePaymentsTrade	http://www.xbrl.org/2003/role/label	resource	ja	前渡金
label_AdvancePaymentsTrade_2	label_AdvancePaymentsTrade_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	前渡金
label_PrepaidExpenses	label_PrepaidExpenses	http://www.xbrl.org/2003/role/label	resource	ja	前払費用
label_PrepaidExpenses_2	label_PrepaidExpenses_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	前払費用
label_DeferredTaxAssetsCA	label_DeferredTaxAssetsCA	http://www.xbrl.org/2003/role/label	resource	ja	繰延税金資産
label_DeferredTaxAssetsCA_2	label_DeferredTaxAssetsCA_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	繰延税金資産、流動資産
label_AccruedIncome	label_AccruedIncome	http://www.xbrl.org/2003/role/label	resource	ja	未収収益
label_AccruedIncome_2	label_AccruedIncome_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	未収収益
label_ShortTermClaimsOnShareholdersDirectorsOrEmployees	label_ShortTermClaimsOnShareholdersDirectorsOrEmployees	http://www.xbrl.org/2003/role/label	resource	ja	株主、役員又は従業員に対する短期債権
label_ShortTermClaimsOnShareholdersDirectorsOrEmployees_2	label_ShortTermClaimsOnShareholdersDirectorsOrEmployees_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	株主、役員又は従業員に対する短期債権
label_AllowanceForDoubtfulAccountsShortTermClaimsOnShareholdersDirectorsOrEmployees	label_AllowanceForDoubtfulAccountsShortTermClaimsOnShareholdersDirectorsOrEmployees	http://www.xbrl.org/2003/role/label	resource	ja	貸倒引当金
label_AllowanceForDoubtfulAccountsShortTermClaimsOnShareholdersDirectorsOrEmployees_2	label_AllowanceForDoubtfulAccountsShortTermClaimsOnShareholdersDirectorsOrEmployees_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	貸倒引当金、株主、役員又は従業員に対する短期債権
label_ShortTermClaimsOnShareholdersDirectorsOrEmployeesNet	label_ShortTermClaimsOnShareholdersDirectorsOrEmployeesNet	http://www.xbrl.org/2003/role/label	resource	ja	株主、役員又は従業員に対する短期債権（純額）
label_ShortTermClaimsOnShareholdersDirectorsOrEmployeesNet_2	label_ShortTermClaimsOnShareholdersDirectorsOrEmployeesNet_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	株主、役員又は従業員に対する短期債権（純額）
label_ShortTermLoansReceivable	label_ShortTermLoansReceivable	http://www.xbrl.org/2003/role/label	resource	ja	短期貸付金
label_ShortTermLoansReceivable_2	label_ShortTermLoansReceivable_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	短期貸付金
label_AllowanceForDoubtfulAccountsShortTermLoans	label_AllowanceForDoubtfulAccountsShortTermLoans	http://www.xbrl.org/2003/role/label	resource	ja	貸倒引当金
label_AllowanceForDoubtfulAccountsShortTermLoans_2	label_AllowanceForDoubtfulAccountsShortTermLoans_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	貸倒引当金、短期貸付金
label_ShortTermLoansReceivableNet	label_ShortTermLoansReceivableNet	http://www.xbrl.org/2003/role/label	resource	ja	短期貸付金（純額）
label_ShortTermLoansReceivableNet_2	label_ShortTermLoansReceivableNet_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	短期貸付金（純額）
label_ShortTermLoansReceivableToSubsidiariesAndAffiliates	label_ShortTermLoansReceivableToSubsidiariesAndAffiliates	http://www.xbrl.org/2003/role/label	resource	ja	関係会社短期貸付金
label_ShortTermLoansReceivableToSubsidiariesAndAffiliates_2	label_ShortTermLoansReceivableToSubsidiariesAndAffiliates_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	関係会社短期貸付金
label_AllowanceForDoubtfulAccountsShortTermLoansReceivableFromSubsidiariesAndAffiliates	label_AllowanceForDoubtfulAccountsShortTermLoansReceivableFromSubsidiariesAndAffiliates	http://www.xbrl.org/2003/role/label	resource	ja	貸倒引当金
label_AllowanceForDoubtfulAccountsShortTermLoansReceivableFromSubsidiariesAndAffiliates_2	label_AllowanceForDoubtfulAccountsShortTermLoansReceivableFromSubsidiariesAndAffiliates_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	貸倒引当金、関係会社短期貸付金
label_ShortTermLoansReceivableToSubsidiariesAndAffiliatesNet	label_ShortTermLoansReceivableToSubsidiariesAndAffiliatesNet	http://www.xbrl.org/2003/role/label	resource	ja	関係会社短期貸付金（純額）
label_ShortTermLoansReceivableToSubsidiariesAndAffiliatesNet_2	label_ShortTermLoansReceivableToSubsidiariesAndAffiliatesNet_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	関係会社短期貸付金（純額）
label_AccountsReceivableOther	label_AccountsReceivableOther	http://www.xbrl.org/2003/role/label	resource	ja	未収入金
label_AccountsReceivableOther_2	label_AccountsReceivableOther_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	未収入金
label_AccountsReceivableOther_3	label_AccountsReceivableOther_3	http://disclosure.edinet-fsa.go.jp/jppfs/fnd/role/label	resource	ja	未収入金
label_AccountsReceivableOther_4	label_AccountsReceivableOther_4	http://disclosure.edinet-fsa.go.jp/jppfs/ivt/role/label	resource	ja	未収入金
label_ConsumptionTaxesReceivable	label_ConsumptionTaxesReceivable	http://www.xbrl.org/2003/role/label	resource	ja	未収消費税等
label_ConsumptionTaxesReceivable_2	label_ConsumptionTaxesReceivable_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	未収消費税等
label_IncomeTaxesReceivable	label_IncomeTaxesReceivable	http://www.xbrl.org/2003/role/label	resource	ja	未収還付法人税等
label_IncomeTaxesReceivable_2	label_IncomeTaxesReceivable_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	未収還付法人税等
label_NonOperatingNotesReceivable	label_NonOperatingNotesReceivable	http://www.xbrl.org/2003/role/label	resource	ja	営業外受取手形
label_NonOperatingNotesReceivable_2	label_NonOperatingNotesReceivable_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	営業外受取手形
label_OtherCA	label_OtherCA	http://www.xbrl.org/2003/role/label	resource	ja	その他
label_OtherCA_2	label_OtherCA_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	その他、流動資産
label_OtherCA_3	label_OtherCA_3	http://disclosure.edinet-fsa.go.jp/jppfs/elc/role/label	resource	ja	その他の流動資産
label_OtherCA_4	label_OtherCA_4	http://disclosure.edinet-fsa.go.jp/jppfs/gas/role/label	resource	ja	その他流動資産
label_OtherCA_5	label_OtherCA_5	http://disclosure.edinet-fsa.go.jp/jppfs/lea/role/label	resource	ja	その他の流動資産
label_OtherCA_6	label_OtherCA_6	http://disclosure.edinet-fsa.go.jp/jppfs/rwy/role/label	resource	ja	その他の流動資産
label_OtherCA_7	label_OtherCA_7	http://disclosure.edinet-fsa.go.jp/jppfs/sec/role/label	resource	ja	その他の流動資産
label_OtherCA_8	label_OtherCA_8	http://disclosure.edinet-fsa.go.jp/jppfs/spf/role/label	resource	ja	その他の流動資産
label_OtherCA_9	label_OtherCA_9	http://disclosure.edinet-fsa.go.jp/jppfs/wat/role/label	resource	ja	その他流動資産
label_OtherCA_10	label_OtherCA_10	http://disclosure.edinet-fsa.go.jp/jppfs/med/role/label	resource	ja	その他の流動資産
label_OtherCA_11	label_OtherCA_11	http://disclosure.edinet-fsa.go.jp/jppfs/hwy/role/label	resource	ja	その他の流動資産
label_AllowanceForDoubtfulAccountsCA	label_AllowanceForDoubtfulAccountsCA	http://www.xbrl.org/2003/role/label	resource	ja	貸倒引当金
label_AllowanceForDoubtfulAccountsCA_2	label_AllowanceForDoubtfulAccountsCA_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	貸倒引当金、流動資産、一括控除
label_AllowanceForDoubtfulAccountsCA_3	label_AllowanceForDoubtfulAccountsCA_3	http://disclosure.edinet-fsa.go.jp/jppfs/elc/role/label	resource	ja	貸倒引当金（貸方）
label_AllowanceForDoubtfulAccountsCA_4	label_AllowanceForDoubtfulAccountsCA_4	http://disclosure.edinet-fsa.go.jp/jppfs/ele/role/label	resource	ja	貸倒引当金（貸方）
label_CurrentAssets	label_CurrentAssets	http://www.xbrl.org/2003/role/label	resource	ja	流動資産
